t,orientacion,energometro,roboscanner,monstroscopio,vacuscopio,posicion_anterior,accion
42,-X,False,False,True,False,"(4, 5, 5)",PROPULSOR
43,-X,False,False,True,False,"(3, 5, 5)",PROPULSOR
44,-X,False,False,True,False,"(2, 5, 5)",PROPULSOR
45,-X,False,False,True,False,"(1, 5, 5)",PROPULSOR
46,-X,False,False,True,True,"(1, 5, 5)",REORIENTADOR
47,-Y,False,False,True,False,"(1, 5, 5)",PROPULSOR
48,+Z,False,False,True,False,"(0, 5, 5)",PROPULSOR
49,+Z,False,False,True,True,"(0, 5, 5)",REORIENTADOR
50,+Y,False,False,True,False,"(0, 5, 5)",PROPULSOR
51,+Y,False,False,True,False,"(0, 4, 5)",PROPULSOR
52,+Y,False,False,True,True,"(0, 4, 5)",REORIENTADOR
53,-X,False,False,True,False,"(0, 4, 5)",PROPULSOR
54,-X,False,False,True,True,"(0, 4, 5)",REORIENTADOR
55,-Y,False,False,True,False,"(0, 4, 5)",PROPULSOR
56,-Y,False,False,True,False,"(0, 5, 5)",PROPULSOR
57,-Y,False,False,True,True,"(0, 5, 5)",REORIENTADOR
58,+X,False,False,True,False,"(0, 5, 5)",PROPULSOR
59,+X,False,False,True,False,"(0, 4, 5)",PROPULSOR
60,+X,False,False,True,False,"(1, 4, 5)",PROPULSOR
61,+X,False,False,True,False,"(2, 4, 5)",PROPULSOR
62,+X,False,False,True,False,"(3, 4, 5)",PROPULSOR
63,+X,False,False,True,False,"(4, 4, 5)",PROPULSOR
64,+X,False,False,True,True,"(4, 4, 5)",REORIENTADOR
65,+Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
66,+Y,False,False,True,False,"(5, 4, 5)",PROPULSOR
67,+Y,False,False,True,True,"(5, 4, 5)",REORIENTADOR
68,-X,False,False,True,False,"(5, 4, 5)",PROPULSOR
69,-X,False,False,True,False,"(5, 5, 5)",PROPULSOR
70,-X,False,False,True,False,"(4, 5, 5)",PROPULSOR
71,-X,False,False,True,False,"(3, 5, 5)",PROPULSOR
72,-X,False,False,True,False,"(2, 5, 5)",PROPULSOR
73,-X,False,False,True,False,"(1, 5, 5)",PROPULSOR
74,-X,False,False,True,True,"(1, 5, 5)",REORIENTADOR
75,-Y,False,False,True,False,"(1, 5, 5)",PROPULSOR
76,-Y,False,False,True,False,"(0, 5, 5)",PROPULSOR
77,-Y,False,False,True,True,"(0, 5, 5)",REORIENTADOR
78,+X,False,False,True,False,"(0, 5, 5)",PROPULSOR
79,+X,False,False,True,False,"(0, 4, 5)",PROPULSOR
80,+X,False,False,True,False,"(1, 4, 5)",PROPULSOR
81,+X,False,False,True,False,"(2, 4, 5)",PROPULSOR
82,+X,False,False,True,False,"(3, 4, 5)",PROPULSOR
83,+X,False,False,True,False,"(4, 4, 5)",PROPULSOR
84,+X,False,False,True,True,"(4, 4, 5)",REORIENTADOR
85,+Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
86,+Y,False,False,True,False,"(5, 4, 5)",PROPULSOR
87,+Y,False,False,True,True,"(5, 4, 5)",REORIENTADOR
88,-X,False,False,True,False,"(5, 4, 5)",PROPULSOR
89,-X,False,False,True,False,"(5, 5, 5)",PROPULSOR
90,-X,False,False,True,False,"(4, 5, 5)",PROPULSOR
91,-X,False,False,True,False,"(3, 5, 5)",PROPULSOR
92,-X,False,False,True,False,"(2, 5, 5)",PROPULSOR
93,-X,False,False,True,False,"(1, 5, 5)",PROPULSOR
94,-X,False,False,True,True,"(1, 5, 5)",REORIENTADOR
95,-Y,False,False,True,False,"(1, 5, 5)",PROPULSOR
96,+X,False,False,True,False,"(0, 4, 5)",PROPULSOR
97,+X,False,False,True,False,"(1, 4, 5)",PROPULSOR
98,+X,False,False,True,False,"(2, 4, 5)",PROPULSOR
99,+X,False,False,True,False,"(3, 4, 5)",PROPULSOR
100,+X,False,False,True,False,"(4, 4, 5)",PROPULSOR
101,+X,False,False,True,True,"(4, 4, 5)",REORIENTADOR
102,+Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
103,+Y,False,False,True,False,"(5, 4, 5)",PROPULSOR
104,+Y,False,False,True,True,"(5, 4, 5)",REORIENTADOR
105,-X,False,False,True,False,"(5, 4, 5)",PROPULSOR
106,-X,False,False,True,False,"(5, 5, 5)",PROPULSOR
107,-X,False,False,True,False,"(4, 5, 5)",PROPULSOR
108,-X,False,False,True,False,"(3, 5, 5)",PROPULSOR
109,-X,False,False,True,False,"(2, 5, 5)",PROPULSOR
110,-X,False,False,True,False,"(1, 5, 5)",PROPULSOR
111,-X,False,False,True,True,"(1, 5, 5)",REORIENTADOR
112,-Y,False,False,True,False,"(1, 5, 5)",PROPULSOR
113,-Z,False,False,True,False,"(0, 5, 5)",PROPULSOR
114,-Z,False,False,True,False,"(0, 4, 5)",REORIENTADOR
115,+X,False,False,True,False,"(0, 4, 5)",PROPULSOR
116,+X,False,False,True,False,"(0, 4, 4)",PROPULSOR
117,+X,False,False,True,True,"(0, 4, 4)",REORIENTADOR
118,+Y,False,False,True,False,"(0, 4, 4)",PROPULSOR
119,+Y,False,False,True,True,"(0, 4, 4)",REORIENTADOR
120,-X,False,False,True,False,"(0, 4, 4)",PROPULSOR
121,-X,True,False,True,False,"(1, 4, 4)",VACUUMATOR
